ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.9353078,18.1420596,0.0269,0.0226,-0.0089,9.409,0.017,64.0,1.947E+01,7.019,0.011,95.9,2.430E+01,1,0,0000,AA,10,58361.89726208,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.417589,105.193084
67.9353272,18.1420755,0.0269,0.0239,0.0067,9.419,0.016,68.4,1.255E+01,6.976,0.013,81.3,4.157E+00,1,0,0000,AA,5,59092.63927116,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.472263,96.345986
67.9353256,18.1420589,0.0299,0.0244,0.0052,9.405,0.014,76.1,1.295E+01,6.982,0.013,82.1,5.386E+00,1,0,0000,AA,10,58361.50467980,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.477208,103.568780
67.9353390,18.1420836,0.0289,0.0283,-0.0066,9.264,0.017,63.5,6.809E+00,6.951,0.015,70.6,8.020E+00,1,0,0000,AA,10,57997.14446804,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.510252,92.587987
67.9353442,18.1420736,0.0256,0.0211,0.0075,9.410,0.014,77.5,9.897E+00,6.927,0.012,92.4,5.329E+00,1,0,0000,AA,10,57265.70457562,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.530814,96.385898
67.9353452,18.1420665,0.0260,0.0221,0.0069,9.373,0.016,69.2,1.576E+01,6.957,0.012,87.5,8.276E+00,1,0,0000,AA,10,58364.51532723,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.537640,99.053304
67.9353327,18.1420243,0.0273,0.0232,0.0078,9.423,0.016,68.6,1.349E+01,7.048,0.013,86.2,5.757E+00,1,0,0000,AA,5,59092.37771968,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.542459,115.849785
67.9353264,18.1420114,0.0233,0.0200,-0.0047,9.311,0.013,83.7,1.159E+01,6.958,0.011,100.1,4.845E+00,1,0,0000,AA,10,57072.72279291,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.545715,121.232249
67.9353490,18.1420720,0.0255,0.0222,-0.0049,9.360,0.015,74.5,8.442E+00,6.945,0.012,94.3,3.883E+00,1,0,0000,AA,10,57266.03259890,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.547788,96.793593
67.9353520,18.1420844,0.0239,0.0230,-0.0099,9.389,0.017,65.6,1.053E+01,7.003,0.011,96.3,8.876E+00,1,0,0000,AA,10,58364.90790956,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.554576,92.083263
67.9353480,18.1420542,0.0305,0.0247,-0.0079,9.347,0.019,58.2,6.532E+00,6.947,0.013,84.1,4.260E+00,1,0,0000,AA,10,56904.22058726,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.555673,103.410924
67.9353325,18.1420135,0.0269,0.0251,-0.0083,9.344,0.018,62.0,1.365E+01,6.953,0.012,87.2,4.721E+00,1,0,0000,AA,10,58155.46237369,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.559907,119.463213
67.9353521,18.1420630,0.0265,0.0226,-0.0051,9.442,0.017,65.2,1.426E+01,7.002,0.012,92.5,5.378E+00,1,0,0000,AA,10,57997.27537127,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.563003,99.941639
67.9353422,18.1420287,0.0267,0.0236,-0.0096,9.349,0.017,65.7,1.186E+01,6.923,0.013,86.8,4.988E+00,1,0,0000,AA,10,56713.61023355,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.565515,112.968624
67.9353534,18.1420570,0.0259,0.0227,-0.0069,9.430,0.017,63.1,9.537E+00,7.001,0.012,91.0,9.747E+00,1,0,0000,AA,10,58361.17754906,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.571480,101.998162
67.9353578,18.1420862,0.0274,0.0228,-0.0096,9.389,0.014,75.4,8.506E+00,6.957,0.012,94.2,3.800E+00,1,0,0000,AA,10,56904.28642101,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.574210,91.365114
67.9353569,18.1420706,0.0246,0.0254,-0.0083,9.379,0.014,79.9,6.509E+00,6.914,0.014,75.7,4.733E+00,1,0,0000,AA,10,56903.82596664,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.575229,96.973639
67.9353470,18.1420304,0.0250,0.0230,-0.0063,9.395,0.013,80.5,1.067E+01,6.909,0.012,89.4,3.787E+00,1,0,0000,AA,10,57431.84183414,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.578373,111.775541
67.9353384,18.1420124,0.0272,0.0232,-0.0084,9.333,0.014,76.4,9.792E+00,6.942,0.012,89.2,5.664E+00,1,0,0000,AA,10,57798.85177637,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.579467,118.822478
67.9353605,18.1420813,0.0299,0.0280,0.0086,9.332,0.018,59.5,7.635E+00,6.996,0.016,69.9,2.916E+00,1,0,0000,AA,10,57633.03568394,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.584127,93.073562
67.9353569,18.1420529,0.0275,0.0243,-0.0070,9.399,0.014,76.5,1.030E+01,6.990,0.013,82.5,3.881E+00,1,0,0000,AA,10,58728.08108719,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.586387,103.165732
67.9353551,18.1420430,0.0261,0.0266,0.0060,9.421,0.016,67.9,1.019E+01,6.977,0.013,80.8,6.702E+00,1,0,0000,AA,10,57996.88253413,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.589616,106.676522
67.9353609,18.1420683,0.0286,0.0232,-0.0120,9.305,0.018,60.7,7.989E+00,6.966,0.012,87.7,6.031E+00,1,0,0000,AA,10,57633.16671476,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.589848,97.610603
67.9353514,18.1420281,0.0227,0.0199,-0.0042,9.351,0.016,69.2,8.417E+00,7.084,0.010,106.8,5.031E+01,1,0,0000,AA,10,57632.90465301,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.595427,111.978107
67.9353633,18.1420746,0.0259,0.0255,-0.0055,9.411,0.016,67.3,1.255E+01,7.097,0.013,85.6,5.605E+00,1,0,0000,AA,5,59092.77004697,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.595451,95.342279
67.9353442,18.1420131,0.0258,0.0221,-0.0075,9.424,0.014,77.4,9.595E+00,6.952,0.013,84.9,5.033E+00,1,0,0000,AA,10,58520.15036672,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.595752,117.690093
67.9353640,18.1420727,0.0276,0.0235,-0.0064,9.344,0.014,77.3,1.409E+01,6.962,0.013,83.5,4.753E+00,1,0,0000,AA,10,57632.64259122,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.598505,95.972902
67.9353522,18.1420276,0.0262,0.0200,0.0035,9.374,0.013,83.1,1.069E+01,6.939,0.012,89.2,3.751E+00,1,0,0000,AA,10,56713.14927045,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.598639,112.039833
67.9353503,18.1420231,0.0293,0.0258,0.0026,9.391,0.018,59.9,9.764E+00,6.949,0.015,74.9,4.365E+00,1,0,0000,AA,10,57430.85865390,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.598947,113.709855
67.9353656,18.1420851,0.0274,0.0244,-0.0085,9.418,0.014,78.4,8.954E+00,6.948,0.014,79.6,3.386E+00,1,0,0000,AA,10,57265.57341721,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.600994,91.681928
67.9353657,18.1420972,0.0200,0.0208,-0.0065,9.360,0.014,75.3,1.210E+01,6.930,0.010,104.3,7.758E+00,1,0,0000,AA,10,56904.68103917,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.601638,87.530754
67.9353660,18.1420821,0.0276,0.0234,0.0031,9.383,0.016,69.3,1.311E+01,7.030,0.013,82.7,6.155E+00,1,0,0000,AA,10,57997.34082291,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.602775,92.704301
67.9353629,18.1420566,0.0281,0.0252,-0.0051,9.393,0.015,70.7,1.111E+01,6.981,0.014,77.1,7.870E+00,1,0,0000,AA,10,58728.53848434,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.603598,101.490541
67.9353662,18.1420775,0.0265,0.0225,0.0055,9.374,0.016,69.0,1.051E+01,6.973,0.012,90.3,5.768E+00,1,0,0000,AA,10,57265.44225884,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.604466,94.269374
67.9353671,18.1420928,0.0247,0.0260,0.0035,9.415,0.017,65.3,5.659E+00,7.038,0.013,82.7,4.640E+00,1,0,0000,AA,5,59093.22782598,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.605949,89.046810
67.9353599,18.1420424,0.0283,0.0244,-0.0124,9.381,0.014,75.1,1.308E+01,6.951,0.013,84.7,4.826E+00,1,0,0000,AA,10,58360.91574256,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.605964,106.426605
67.9353655,18.1420649,0.0239,0.0248,-0.0051,9.420,0.016,70.0,1.337E+01,6.978,0.012,93.6,4.851E+00,1,0,0000,AA,10,58364.77700628,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.607156,98.558854
67.9353473,18.1420118,0.0249,0.0200,-0.0069,9.382,0.014,78.6,8.468E+00,6.938,0.013,82.2,3.158E+00,1,0,0000,AA,10,56712.88580840,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.607319,117.616117
67.9353665,18.1421082,0.0285,0.0227,-0.0114,9.383,0.015,74.3,1.004E+01,6.947,0.012,88.1,3.769E+00,1,0,0000,AA,10,56904.02334066,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.607358,83.807009
67.9353661,18.1420617,0.0251,0.0206,0.0087,9.385,0.015,73.7,2.216E+01,6.935,0.011,99.0,1.648E+01,1,0,0000,AA,5,57265.90144053,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.610994,99.598512
67.9353681,18.1420734,0.0247,0.0220,-0.0064,9.417,0.016,66.7,1.010E+01,7.012,0.011,98.9,6.134E+00,1,0,0000,AA,10,57997.73366000,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.612207,95.601739
67.9353446,18.1420026,0.0232,0.0211,-0.0076,9.286,0.014,78.0,8.383E+00,6.919,0.013,86.3,7.011E+00,1,0,0000,AA,10,57072.32868150,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.615408,120.748562
67.9353676,18.1420619,0.0265,0.0218,-0.0041,9.373,0.014,75.1,1.288E+01,6.982,0.012,94.0,5.395E+00,1,0,0000,AA,10,57633.10113564,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.615938,99.452879
67.9353359,18.1419888,0.0258,0.0207,0.0036,9.408,0.015,73.6,8.064E+00,6.963,0.011,95.3,5.030E+00,1,0,0000,AA,10,57431.71080282,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.617944,126.126113
67.9353627,18.1420365,0.0274,0.0252,-0.0017,9.346,0.019,58.0,8.426E+00,6.942,0.012,89.1,3.193E+00,1,0,0000,AA,10,58155.52782580,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.621412,108.055509
67.9353540,18.1420150,0.0249,0.0225,-0.0068,9.358,0.016,66.0,8.506E+00,6.934,0.013,84.7,5.433E+00,1,0,0000,AA,10,56713.34689882,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.622634,115.698731
67.9353614,18.1420300,0.0255,0.0227,-0.0078,9.444,0.014,75.8,1.260E+01,7.052,0.012,92.7,7.470E+00,1,0,0000,AA,10,59092.70459541,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.624883,110.222309
67.9353723,18.1420753,0.0279,0.0219,0.0075,9.350,0.016,69.0,1.379E+01,6.948,0.013,83.6,4.663E+00,1,0,0000,AA,10,57632.77362208,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.625895,94.850167
67.9353714,18.1420665,0.0267,0.0225,-0.0095,9.395,0.013,83.7,1.118E+01,6.986,0.013,85.3,4.340E+00,1,0,0000,AA,10,56903.69442637,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.626318,97.762967
67.9353521,18.1420087,0.0281,0.0252,-0.0064,9.395,0.015,72.0,8.742E+00,6.954,0.015,74.7,3.923E+00,1,0,0000,AA,10,57431.57964429,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.627049,117.824149
67.9353516,18.1420069,0.0242,0.0209,-0.0061,9.408,0.015,72.6,9.898E+00,6.922,0.012,89.4,4.514E+00,1,0,0000,AA,10,57431.12084380,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.628591,118.419293
67.9353738,18.1420703,0.0257,0.0204,0.0051,9.347,0.014,77.3,9.980E+00,6.925,0.012,93.2,7.355E+00,1,0,0000,AA,10,57270.55870016,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.632770,96.435095
67.9353731,18.1420610,0.0266,0.0266,-0.0109,9.358,0.015,70.3,1.468E+01,6.951,0.014,79.7,4.573E+00,1,0,0000,AA,10,57266.29491562,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.635028,99.462421
67.9353756,18.1420828,0.0265,0.0252,-0.0069,9.340,0.018,61.2,8.103E+00,6.951,0.013,83.1,4.651E+00,1,0,0000,AA,10,58728.93157650,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.635474,92.337630
67.9353611,18.1420208,0.0253,0.0237,-0.0103,9.395,0.014,78.9,1.116E+01,6.953,0.013,82.4,5.367E+00,1,0,0000,AA,10,57431.25187507,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.636143,113.054552
67.9353770,18.1420839,0.0243,0.0242,-0.0039,9.390,0.018,61.4,8.927E+00,6.931,0.012,87.8,5.003E+00,1,0,0000,AA,10,57266.42620135,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.640111,91.965980
67.9353762,18.1420724,0.0265,0.0227,-0.0062,9.346,0.014,78.1,1.141E+01,6.979,0.013,85.7,4.173E+00,1,0,0000,AA,10,57632.97010477,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.640140,95.680314
